iata,city,state,latitude,longitude
00M,Bay Springs,MS,31.95376472,-89.23450472
00R,Livingston,TX,30.68586111,-95.01792778
00V,Colorado Springs,CO,38.94574889,-104.5698933
01G,Perry,NY,42.74134667,-78.05208056
01J,Hilliard,FL,30.6880125,-81.90594389
01M,Belmont,MS,34.49166667,-88.20111111
02A,Clanton,AL,32.85048667,-86.61145333
02C,Brookfield,WI,43.08751,-88.17786917
02G,East Liverpool,OH,40.67331278,-80.64140639
03D,Memphis,MO,40.44725889,-92.22696056
04M,Pittsboro,MS,33.93011222,-89.34285194
04Y,Hawley,MN,46.88384889,-96.35089861
05C,Griffith,IN,41.51961917,-87.40109333
05F,Gatesville,TX,31.42127556,-97.79696778
05U,Eureka,NV,39.60416667,-116.0050597
06A,Tuskegee,AL,32.46047167,-85.68003611
06C,Chicago/Schaumburg,IL,41.98934083,-88.10124278
06D,Rolla,ND,48.88434111,-99.62087694
06M,Eupora,MS,33.53456583,-89.31256917
06N,Middletown,NY,41.43156583,-74.39191722
06U,Jackpot,NV,41.97602222,-114.6580911
07C,Auburn,IN,41.30716667,-85.06433333
07F,Gladewater,TX,32.52883861,-94.97174556
07G,Charlotte,MI,42.57450861,-84.81143139
07K,Central City,NE,41.11668056,-98.05033639
08A,Wetumpka,AL,32.52943944,-86.32822139
08D,Stanley,ND,48.30079861,-102.4063514
08K,Harvard,NE,40.65138528,-98.07978667
08M,Carthage,MS,32.76124611,-89.53007139
09A,Butler,AL,32.11931306,-88.1274625
09J,Jekyll Island,GA,31.07447222,-81.42777778
09K,Sargent,NE,41.63695083,-99.34038139
09M,Charleston,MS,33.99150222,-90.078145
09W,Washington,DC,38.86872333,-77.00747583
0A3,Smithville,TN,35.98531194,-85.80931806
0A8,Centreville,AL,32.93679056,-87.08888306
0A9,Elizabethton,TN,36.37094306,-82.17374111
0AK,Pilot Station,AK,61.93396417,-162.8929358
0B1,Bethel,ME,44.42506444,-70.80784778
0B4,Hartington,NE,42.60355556,-97.25263889
0B5,Montague,MA,42.59136361,-72.52275472
0B7,Warren,VT,44.11672722,-72.82705806
0B8,Fishers Island,NY,41.25130806,-72.03161139
0C0,Chicago/Harvard,IL,42.40418556,-88.63343222
0C4,Pender,NE,42.11388722,-96.72892556
0D1,South Haven,MI,42.35083333,-86.25613889
0D8,Gettysburg,SD,44.98730556,-99.9535
0,Moriarty,NM,34.98560639,-106.0094661
0,Crownpoint,NM,35.71765889,-108.2015961
0F2,Bowie,TX,33.60166667,-97.77556
0F4,Loup City,NE,41.29028694,-98.99064278
0F7,Eufaula,OK,35.38898833,-95.60165111
0F8,Sand Springs,OK,36.17528,-96.15181028
0F9,Tishomingo,OK,34.19592833,-96.67555694
0G0,Lockport,NY,43.10318389,-78.70334583
0G3,Tecumseh,NE,40.39944417,-96.17139694
0G6,Bryan,OH,41.46736111,-84.50655556
0G7,Seneca Falls,NY,42.88062278,-76.78162028
0H1,Wakeeney,KS,39.0044525,-99.89289917
0I8,Cynthiana,KY,38.36674167,-84.28410056
0J0,Abbeville,AL,31.60016778,-85.23882222
0J4,Florala,AL,31.04247361,-86.31156111
0J6,Headland,AL,31.364895,-85.30965556
0K7,Humboldt,IA,42.7360825,-94.24524167
0L5,Goldfield,NV,37.71798833,-117.2384119
0L7,Jean,NV,35.76827222,-115.3296378
0L9,Overton,NV,36.31108972,-114.4638672
0M0,Dumas,AR,33.8845475,-91.53429111
0M1,Parsons,TN,35.63778,-88.127995
0M4,Camden,TN,36.01122694,-88.12328833
0M5,Waverly,TN,36.11659972,-87.73815889
0M6,Batesville,MS,34.36677444,-89.90008917
0M8,Lake Providence,LA,32.82587917,-91.187665
0O3,San Andreas,CA,38.14611639,-120.6481733
0O4,Corning,CA,39.94376806,-122.1713781
0O5,Davis,CA,38.53146222,-121.7864906
0Q5,Shelter Cove,CA,40.02764333,-124.0733639
0Q6,Shingletown,CA,40.52210111,-121.8177683
0R0,Columbia,MS,31.29700806,-89.81282944
0R1,Atmore,AL,31.01621528,-87.44675972
0R3,Abbeville,LA,29.97576083,-92.08415167
0R4,Vidalia,LA,31.56683278,-91.50011889
0R5,Winnfield,LA,31.96366222,-92.66026056
0R7,Coushatta,LA,31.99071694,-93.30739306
0S7,Oroville,WA,48.958965,-119.4119622
0S9,Port Townsend,WA,48.04981361,-122.8012792
0V2,Salida,CO,38.53916389,-106.0458483
